"","title","code","audience_male","audience_female"
"640","리오","76455",NA,NA
"641","초콜렛 도넛","93236","28%","72%"
"642","A-특공대","50598",NA,NA
"643","파니 핑크","24157",NA,NA
"644","비투스","62390",NA,NA
"645","극장판 나루토 질풍전: 로드 투 닌자","96968",NA,NA
"646","극장판 슈타인즈 게이트: 부하영역의 데자뷰","107748",NA,NA
"647","퍼펙트 게임","76048",NA,NA
"648","앨빈과 슈퍼밴드","45130",NA,NA
"649","기쿠지로의 여름","27350","47%","53%"
"650","대니쉬 걸","51787","21%","79%"
"651","티벳에서의 7년","18865",NA,NA
"652","시카고","36590","33%","67%"
"653","미션","10086","56%","44%"
"654","신세계","91031","25%","75%"
"655","소년은 울지 않는다","27109",NA,NA
"656","스포트라이트","129072","46%","54%"
"657","미쓰 와이프","129406","36%","64%"
"658","인어 공주","37739",NA,NA
"659","아홉 스님","193990","30%","70%"
"660","죠스","10029",NA,NA
"661","덤보","163787","35%","65%"
"662","굿바이 레닌","37409",NA,NA
"663","뜨거운 안녕","97652",NA,NA
"664","행복을 찾아서","64354",NA,NA
"665","스카페이스","10330",NA,NA
"666","나의 특별한 형제","175366","43%","57%"
"667","서치","172425","45%","55%"
"668","시","70562","100%","30%"
"669","원피스 필름 골드","146214","57%","43%"
"670","레이더스","10033",NA,NA
"671","부러진 화살","87571",NA,NA
"672","아이언맨","44885",NA,NA
"673","하이큐!! 끝과 시작","140803","14%","86%"
"674","노무현입니다","162173","43%","57%"
"675","주먹이 운다","39399",NA,NA
"676","그것만이 내 세상","158180","45%","55%"
"677","캡틴 아메리카: 윈터 솔져","96327","64%","36%"
"678","루이스","178214","26%","74%"
"679","볼케이노","18318",NA,NA
"680","드래곤 길들이기 2","76020","31%","69%"
"681","마담 프루스트의 비밀정원","113170","24%","76%"
"682","꼬마 니콜라","72393",NA,NA
"683","캐리비안의 해적 - 망자의 함","43678",NA,NA
"684","여행자","51049",NA,NA
"685","극장판 파워레인저: 닌자포스 VS 트레인포스 닌자 인 원더랜드","146944","25%","75%"
"686","벤자민 버튼의 시간은 거꾸로 간다","66091","32%","68%"
"687","투 브라더스","38907",NA,NA
"688","엘리트 스쿼드 2","82323",NA,NA
"689","서편제","16906","33%","67%"
"690","사랑 후에 남겨진 것들","50785","50%","50%"
"691","다만, 널 사랑하고 있어","64080",NA,NA
"692","다이 하드 4.0","40133",NA,NA
"693","하녀","23525",NA,NA
"694","매디슨 카운티의 다리","17255","29%","71%"
"695","해리가 샐리를 만났을 때","10250","75%","25%"
"696","무서운 집","126389","48%","52%"
"697","내니 맥피 2 - 유모와 마법소동","73018",NA,NA
"698","페어리테일: 봉황의 무녀","94194",NA,NA
"699","비밥바룰라","151254","67%","33%"
"700","록키 발보아","62556",NA,NA
"701","심연","11092",NA,NA
"702","웰컴 투 동막골","39405",NA,NA
"703","담보","183866","48%","52%"
"704","100일 동안 100가지로 100퍼센트 행복찾기","183377","32%","68%"
"705","배심원들","177483","35%","65%"
"706","디어 헌터","10128","100%","26%"
"707","좋은 친구들","10640",NA,NA
"708","미이라 2","31271",NA,NA
"709","바르다가 사랑한 얼굴들","162854","29%","71%"
"710","노다메 칸타빌레 최종악장","73075",NA,NA
"711","장수상회","120125","39%","61%"
"712","나는 내일, 어제의 너와 만난다","157178","56%","44%"
"713","앙: 단팥 인생 이야기","139523","32%","68%"
"714","원초적 본능","10742",NA,NA
"715","쉬즈 더 맨","45719",NA,NA
"716","스파이더맨","31307",NA,NA
"717","소림축구","33082",NA,NA
"718","와일드 카드","35991",NA,NA
"719","명탐정 코난: 은빛 날개의 마술사","38615",NA,NA
"720","마당을 나온 암탉","41585",NA,NA
"721","해리 포터와 비밀의 방","33930",NA,NA
"722","앨빈과 슈퍼밴드 2","70637",NA,NA
"723","슈렉","31579",NA,NA
"724","첫잔처럼","189259",NA,NA
"725","디태치먼트","82239","40%","60%"
"726","얼라이드","149777","49%","51%"
"727","페르디난드","160491","18%","82%"
"728","1급기밀","149504","55%","45%"
"729","청원","80774",NA,NA
"730","파이트 클럽","27260","46%","54%"
"731","헬로우 고스트","75401",NA,NA
"732","태양 아래","146488","50%","50%"
"733","엑스맨: 데이즈 오브 퓨처 패스트","99714","63%","37%"
"734","...ing","36957",NA,NA
"735","그날 본 꽃의 이름을 우리는 아직 모른다","113315","57%","43%"
"736","우리는 동물원을 샀다","76627",NA,NA
"737","초콜릿","31456",NA,NA
"738","프라이멀 피어","17800",NA,NA
"739","쉬리","19500",NA,NA
"740","중경삼림","17059",NA,NA
"741","극장판 유희왕 더 다크 사이드 오브 디멘션즈","150117","37%","63%"
"742","쿼바디스","128212","56%","44%"
"743","그렇게 아버지가 된다","103719","45%","55%"
"744","의형제","52548",NA,NA
"745","아무도 모른다","38546","20%","80%"
"746","드리머","43609",NA,NA
"747","댄싱퀸","83268",NA,NA
"748","거인","117061","19%","81%"
"749","1917","187321","70%","30%"
"750","람보","10055",NA,NA
"751","그녀를 믿지 마세요","37838",NA,NA
"752","더 데이","92038",NA,NA
"753","사탄의 인형","11119",NA,NA
"754","복수혈전","11354",NA,NA
"755","트레인스포팅","17967",NA,NA
"756","스왈로우테일 버터플라이","26544",NA,NA
"757","천사의 사랑","75606",NA,NA
"758","라스트 모히칸","11720","80%","20%"
"759","프렌즈: 몬스터 섬의 비밀","88495","23%","77%"
"760","트루 라이즈","16516",NA,NA
"761","추억의 마니","127858","34%","66%"
"762","트롤: 월드 투어","191633","28%","72%"
"763","미드나잇 선","143416","37%","63%"
"764","라이프 오브 파이","87309","35%","65%"
"765","LA 컨피덴셜","18875",NA,NA
"766","이퀼리브리엄","36484",NA,NA
"767","토탈 리콜","10800",NA,NA
"768","팀 버튼의 크리스마스 악몽","14584",NA,NA
"769","극장판 도라에몽: 진구와 철인군단 날아라 천사들","76560",NA,NA
"770","슈퍼노바 지구 탈출기","96054",NA,NA
"771","아이언맨 3","70254",NA,NA
"772","우먼 인 골드","127321","28%","72%"
"773","콜 오브 와일드","192147","75%","25%"
"774","무사","28214",NA,NA
"775","굿모닝 맨하탄","98276","26%","74%"
"776","비포 선라이즈","17773","38%","62%"
"777","아웃포스트","195450","76%","24%"
"778","각설탕","43206",NA,NA
"779","미스터트롯: 더 무비","197304","12%","88%"
"780","트랜스포머","61521","50%","50%"
"781","극장판 포켓몬스터 너로 정했다!","165722","26%","74%"
"782","원피스 극장판: 스트롱 월드","49007",NA,NA
"783","바닐라 스카이","31913",NA,NA
"784","예스 맨","45944",NA,NA
"785","짱구는 못말려 극장판: 폭풍수면! 꿈꾸는 세계 대돌격","149050","27%","73%"
"786","영화는 영화다","48074",NA,NA
"787","일일시호일","179318","26%","74%"
"788","여배우는 오늘도","138601","21%","79%"
"789","파이터","71768",NA,NA
"790","맨 온 파이어","38574",NA,NA
"791","지구를 지켜라!","36344",NA,NA
"792","글러브","73477",NA,NA
"793","짱구는 못말려 극장판: 초시공! 태풍을 부르는 나의 신부","75217",NA,NA
"794","토르: 라그나로크","134898","61%","39%"
"795","매트릭스 2 - 리로디드","31464",NA,NA
"796","극장판 도라에몽:진구의 남극 꽁꽁 대모험","153279","22%","78%"
"797","초록물고기","17946",NA,NA
"798","에이미","136890","24%","76%"
"799","나의 소녀시대","142691","33%","67%"
"800","순정","139674","16%","84%"
"801","연인","10741","25%","75%"
"802","작은 아씨들","186613","33%","67%"
"803","10분","115240","22%","78%"
"804","그 여자 작사 그 남자 작곡","65769",NA,NA
"805","시티 오브 갓","36651","78%","22%"
"806","처음 만나는 자유","28795",NA,NA
"807","라스트 미션","179974","55%","45%"
"808","드라큐라","14397",NA,NA
"809","코요테 어글리","30685",NA,NA
"810","데블스 에드버킷","18814",NA,NA
"811","U-571","29146",NA,NA
"812","달콤한 인생","39516","78%","22%"
"813","페이스 메이커","83098",NA,NA
"814","빅풋 주니어","165025","14%","86%"
"815","패트리어트 - 늪 속의 여우","29378",NA,NA
"816","비트","18597",NA,NA
"817","어느 날, 사랑이 걸어왔다","72081",NA,NA
"818","블랙북","61095",NA,NA
"819","더티 댄싱 - 하바나 나이트","38274",NA,NA
"820","미션 임파서블 3","43153",NA,NA
"821","크레이지 뷰티풀","32593",NA,NA
"822","7번방의 선물","94775",NA,NA
"823","희극지왕","29044",NA,NA
"824","12 몽키즈","17758",NA,NA
"825","탑건","10100","42%","58%"
"826","슬럼독 밀리어네어","66440","38%","62%"
"827","트럼보","130983","36%","64%"
"828","스탠바이, 웬디","147388","27%","73%"
"829","천로역정: 천국을 찾아서","183836","29%","71%"
"830","타마코 러브 스토리","123433","79%","21%"
"831","믿음의 승부","58538",NA,NA
"832","다음 침공은 어디?","142241","35%","65%"
"833","김복동","185131","29%","71%"
"834","8 마일","35626","62%","38%"
"835","아멜리에","32588","17%","83%"
"836","배트맨","10253",NA,NA
"837","계춘할망","132998","36%","64%"
"838","메멘토","31940","45%","55%"
"839","내 머리 속의 지우개","38662","36%","64%"
"840","키싱 부스 2","184520",NA,NA
"841","라빠르망","18285","35%","65%"
"842","아일랜드","39879",NA,NA
"843","집으로 가는 길","96961",NA,NA
"844","라이어 라이어","18216",NA,NA
"845","스트레이트 아웃 오브 컴턴","130957","69%","31%"
"846","리틀 포레스트","154449","38%","62%"
"847","미라클 벨리에","132991","35%","65%"
"848","킹스맨 : 시크릿 에이전트","114249","53%","47%"
"849","이별의 아침에 약속의 꽃을 장식하자","172113","57%","43%"
"850","두레소리","72631",NA,NA
"851","스타더스트","66144",NA,NA
"852","라스베가스를 떠나며","17450",NA,NA
"853","레퀴엠","31282",NA,NA
"854","분노의 질주: 더 맥시멈","91696",NA,NA
"855","락앤롤 보트","52790",NA,NA
"856","한공주","99724","44%","56%"
"857","천문: 하늘에 묻는다","181381","55%","45%"
"858","스파이 게임","31911",NA,NA
"859","미드웨이","186615","78%","22%"
"860","브리짓 존스의 베이비","143456","28%","72%"
"861","화양연화","28876","100%","24%"
"862","공수도","185423",NA,NA
"863","제5원소","18350",NA,NA
"864","봄 여름 가을 겨울 그리고 봄","36617",NA,NA
"865","매드맥스: 분노의 도로","77768","57%","43%"
"866","델타 보이즈","149479","44%","56%"
"867","어벤져스","72363","50%","50%"
"868","나우 이즈 굿","86197",NA,NA
"869","펄프 픽션","16571",NA,NA
"870","뽀로로 극장판 컴퓨터 왕국 대모험","143253","18%","82%"
"871","극장판 요괴워치: 탄생의 비밀이다냥!","134845","21%","79%"
"872","패트리어트 데이","149731","53%","47%"
"873","이번 일요일에","51624",NA,NA
"874","달라스 바이어스 클럽","100639","44%","56%"
"875","스파이","118950","51%","49%"
"876","위플래쉬","119632","53%","47%"
"877","크게 될 놈","159845","43%","57%"
"878","약속","19456",NA,NA
"879","비열한 거리","50932",NA,NA
"880","극장판 요괴워치 섀도사이드: 도깨비왕의 부활","170496","36%","64%"
"881","춘희막이","138576","19%","81%"
"882","오픈 유어 아이즈","19541",NA,NA
"883","미녀는 괴로워","39157",NA,NA
"884","인 어 베러 월드","78681",NA,NA
"885","이미테이션 게임","113348","50%","50%"
"886","심슨 가족, 더 무비","65735",NA,NA
"887","완득이","80866",NA,NA
"888","명탐정 코난:진홍의 연가","159054","29%","71%"
"889","집오리와 들오리의 코인로커","64961",NA,NA
"890","루돌프와 많이있어","153951","17%","83%"
"891","극장판 원피스 스탬피드","187324","81%","19%"
"892","찰리와 초콜릿 공장","39846",NA,NA
"893","너의 이름은.","150198","54%","46%"
"894","불편한 진실","60755",NA,NA
"895","서태지 심포니","73496",NA,NA
"896","미녀와 야수","136872","37%","63%"
"897","스테이션 7","165751","50%","50%"
"898","부에나 비스타 소셜 클럽","26348","39%","61%"
"899","굿 다이노","109910","22%","78%"
"900","아이스 에이지 3: 공룡시대","47494",NA,NA
"901","범죄의 재구성","37853",NA,NA
"902","아이리시맨","154298","80%","20%"
"903","스텝업4 : 레볼루션","93089",NA,NA
"904","폴라 익스프레스","38882",NA,NA
"905","출국","179139","47%","53%"
"906","소공녀","159311","32%","68%"
"907","택시 드라이버","10793",NA,NA
"908","말죽거리 잔혹사","37245",NA,NA
"909","아이, 로봇","38420",NA,NA
"910","리즈와 파랑새","172040","63%","37%"
"911","쓰리 빌보드","158610","42%","58%"
"912","썬더와 마법저택","116251",NA,NA
"913","메가마인드","74309",NA,NA
"914","액트 오브 킬링","98280","40%","60%"
"915","비포 선셋","39043","36%","64%"
"916","극장판 루팡 3세 VS 명탐정 코난","119914","29%","71%"
"917","가장 따뜻한 색, 블루","98432","23%","77%"
"918","슈퍼배드 2","92176",NA,NA
"919","데이비드 게일","36763",NA,NA
"920","알 포인트","37261",NA,NA
"921","어바웃 어 보이","35070",NA,NA
"922","란도리","34598",NA,NA
"923","다크 워터스","190728","71%","29%"
"924","박치기!","40032",NA,NA
"925","위로공단","130376","39%","61%"
"926","혹성탈출: 진화의 시작","80629",NA,NA
"927","사이비","96997","40%","60%"
"928","스파이더맨 2","35071",NA,NA
"929","마이펫의 이중생활2","180374","24%","76%"
"930","극장판 포켓 몬스터 DP - 환영의 패왕 조로아크","77154",NA,NA
"931","내겐 너무 가벼운 그녀","33759",NA,NA
"932","더 포스트","159848","46%","54%"
"933","도그빌","36950","67%","33%"
"934","극장판 도라에몽: 진구의 보물섬","172118","27%","73%"
"935","피터 래빗","154226","20%","80%"
"936","고양이를 부탁해","31607","50%","50%"
"937","벌새","179307","29%","71%"
"938","러시 아워","19394",NA,NA
"939","대니 콜린스","115296","41%","59%"
"940","에픽 : 숲속의 전설","96325",NA,NA
"941","도라에몽:스탠바이미","127901","33%","67%"
"942","김복남 살인사건의 전말","53781",NA,NA
"943","장화, 홍련","36732","100%","20%"
"944","엘프","37756",NA,NA
"945","로드 무비","34447",NA,NA
"946","애자","51407",NA,NA
"947","나의 사랑, 그리스","147896","34%","66%"
"948","다이 하드 2","10245",NA,NA
"949","더 페이버릿: 여왕의 여자","148909","24%","76%"
"950","크리드 2","163798","79%","21%"
"951","본 아이덴티티","35273",NA,NA
"952","포켓몬 더 무비 XY 후파: 광륜의 초마신","137010","23%","77%"
"953","러시 아워 2","31629",NA,NA
"954","김씨 표류기","44910",NA,NA
"955","극장판 헬로카봇:옴파로스 섬의 비밀","181554","25%","75%"
"956","채비","162932","43%","57%"
"957","박사가 사랑한 수식","59032",NA,NA
"958","극장판 명탐정 코난:탐정들의 진혼가","48159","31%","69%"
"959","메밀꽃, 운수 좋은 날, 그리고 봄봄","123095","33%","67%"
"960","미션 임파서블: 로그네이션","95541","50%","50%"
"961","딥 임팩트","19063",NA,NA
"962","후 아 유","33420",NA,NA
"963","레고 무비2","125438","38%","62%"
"964","어드리프트:우리가 함께한 바다","172768","47%","53%"
"965","미션 임파서블 : 고스트 프로토콜","53372",NA,NA
"966","넛잡 2","121052","23%","77%"
"967","아기배달부 스토크","144945","22%","78%"
"968","아메리칸 셰프","109920","37%","63%"
"969","본 투 비 블루","126078","38%","62%"
"970","지금 만나러 갑니다","168298","48%","52%"
"971","크리스마스에 기적을 만날 확률","38106","50%","50%"
"972","고야의 유령","61482",NA,NA
"973","터닝메카드W: 블랙미러의 부활","155484","25%","75%"
"974","포켓몬 더 무비 XY&Z 「볼케니온 : 기계왕국의 비밀」","152265","27%","73%"
"975","접속","18489","100%","18%"
"976","네버랜드를 찾아서","38338",NA,NA
"977","해리 포터와 아즈카반의 죄수","35546",NA,NA
"978","슈퍼 프렌즈","131576","24%","76%"
"979","블레이드 러너","10962","53%","47%"
"980","쉐프","92312","50%","50%"
"981","바닷마을 다이어리","132610","33%","67%"
"982","퍼펙트 블루","25749",NA,NA
"983","프리키 프라이데이","37386",NA,NA
"984","빨간 구두","39750",NA,NA
"985","러덜리스","109626","44%","56%"
"986","아티스트","84856","100%","26%"
"987","스트레인저 댄 픽션","52794",NA,NA
"988","콘스탄틴","39708",NA,NA
"989","취화선","31904",NA,NA
"990","세라비, 이것이 인생!","167049","33%","67%"
"991","월터의 상상은 현실이 된다","97858","44%","56%"
"992","시라노; 연애조작단","73318","100%","19%"
"993","워크 투 리멤버","34225","33%","67%"
"994","카사블랑카","10106","50%","50%"
"995","현기증","11089","44%","56%"
"996","안녕! 유에프오","37244",NA,NA
"997","죽여주는 여자","146508","29%","71%"
"998","우리집","185450","28%","72%"
"999","스텝 업","61056",NA,NA
"1000","큐브","24602",NA,NA
"1001","신비아파트: 금빛 도깨비와 비밀의 동굴","174805","20%","80%"
"1002","브레이킹 던 part2","77566",NA,NA
"1003","보이후드","118348","44%","56%"
"1004","아더 크리스마스","81106",NA,NA
"1005","언노운 우먼","64170",NA,NA
"1006","보글보글 스폰지 밥","39676",NA,NA
"1007","가을의 전설","17173",NA,NA
"1008","브링 잇 온","30786",NA,NA
"1009","봄","112042","35%","65%"
"1010","엽문 2","52757",NA,NA
"1011","미술관 옆 동물원","19505",NA,NA
"1012","히노키오","42867",NA,NA
"1013","아모레스 페로스","32126",NA,NA
"1014","인피니트 콘서트 세컨드 인베이전 에볼루션 더 무비 3D","87246",NA,NA
"1015","공각기동대","23917","100%","23%"
"1016","사랑은 비가 갠 뒤처럼","170874","82%","18%"
"1017","붉은 돼지","19302",NA,NA
"1018","신데렐라 스토리","39150",NA,NA
"1019","엘 시크레토: 비밀의 눈동자","71546",NA,NA
"1020","닥터 스트레인지","125459","62%","38%"
"1021","유브 갓 메일","23849",NA,NA
"1022","쿵푸 팬더 2","73411",NA,NA
"1023","오페라의 유령","39369","38%","62%"
"1024","블랙 스완","72058","12%","88%"
"1025","맨체스터 바이 더 씨","137956","39%","61%"
"1026","데이라잇","17787",NA,NA
"1027","버스, 정류장","31814",NA,NA
"1028","몬스터 대학교","75415",NA,NA
"1029","블레이드 2","31705",NA,NA
"1030","딥 블루 씨","25676",NA,NA
"1031","우리들의 행복한 시간","54411",NA,NA
"1032","미운 오리 새끼","88226",NA,NA
"1033","13 구역","39804",NA,NA
"1034","워리어","74003",NA,NA
"1035","파이스토리 : 악당상어 소탕작전","100938",NA,NA
"1036","당신, 거기 있어줄래요","145292","54%","46%"
"1037","스타 트렉: 더 비기닝","62789",NA,NA
"1038","귀여운 여인","10132",NA,NA
"1039","트롤","101904","19%","81%"
"1040","겨울왕국 2","136873","36%","64%"
"1041","잠베지아: 신비한 나무섬의 비밀","91703",NA,NA
"1042","더 레슬러","50583",NA,NA
"1043","명탐정 코난: 이차원의 저격수","123420","33%","67%"
"1044","아메리칸 스나이퍼","109984","70%","30%"
"1045","허브","48742",NA,NA
"1046","스노든","134887","58%","42%"
"1047","찬실이는 복도 많지","189624","23%","77%"
"1048","부당거래","52747",NA,NA
"1049","천국의 아이들","88474",NA,NA
"1050","의천도룡기","16211",NA,NA
"1051","알리타: 배틀 엔젤","66728","64%","36%"
"1052","내가 죽기 전에 가장 듣고 싶은 말","142634",NA,NA
"1053","부르고뉴, 와인에서 찾은 인생","164684","32%","68%"
"1054","악마는 프라다를 입는다","60484",NA,NA
"1055","데드풀 2","149236","63%","37%"
"1056","고","33513",NA,NA
"1057","더 라스트: 나루토 더 무비","135342","56%","44%"
"1058","남자가 사랑할 때","106540","52%","48%"
"1059","진짜로 일어날지도 몰라 기적","87663","46%","54%"
"1060","마다가스카의 펭귄","114276","23%","77%"
"1061","귀향","49302","100%","23%"
"1062","센스 앤 센서빌리티","17458",NA,NA
"1063","데자뷰","62249",NA,NA
"1064","무간도 2 - 혼돈의 시대","37487",NA,NA
"1065","캡틴 판타스틱","127396","35%","65%"
"1066","버팔로 66","25641",NA,NA
"1067","워터보이즈","33682",NA,NA
"1068","슈퍼배드 3","132626","25%","75%"
"1069","보이 A","44981",NA,NA
"1070","짱구는 못말려 극장판: 나의 이사 이야기 선인장 대습격","137281","20%","80%"
"1071","맨 인 블랙","18153",NA,NA
"1072","명탐정 코난:수평선상의 음모","40112",NA,NA
"1073","레지던트 이블","34514",NA,NA
"1074","페르시아의 왕자: 시간의 모래","67374",NA,NA
"1075","워낭소리","50869",NA,NA
"1076","브리짓 존스의 일기","31565","25%","75%"
"1077","마미","124225","30%","70%"
"1078","레이드 2","113635",NA,NA
"1079","웨딩 싱어","19059",NA,NA
"1080","그을린 사랑","78240","100%","27%"
"1081","리틀 프린세스 소피아: 엘레나와 비밀의 아발로 왕국","161374",NA,NA
"1082","내 생애 가장 아름다운 일주일","39818",NA,NA
"1083","쿠르스크","151747","69%","31%"
"1084","몬태나","158628","52%","48%"
"1085","버니드롭","86818",NA,NA
"1086","무현, 두 도시 이야기","152183","46%","54%"
"1087","캡틴 아메리카: 시빌 워","122527","62%","38%"
"1088","고지전","74315",NA,NA
"1089","몬스터","38083",NA,NA
"1090","하늘이 보내준 딸","88783",NA,NA
"1091","야수와 미녀","41350",NA,NA
"1092","홀리데이","40678",NA,NA
"1093","보스 베이비","129094","28%","72%"
"1094","극장판 베르세르크: 황금 시대편Ⅲ - 강림","93774",NA,NA
"1095","치킨 런","29558",NA,NA
"1096","건축학개론","88426","50%","50%"
"1097","썸머 워즈","69951","50%","50%"
"1098","콜레트","171533","16%","84%"
"1099","토탈 이클립스","17498",NA,NA
"1100","용의자 X의 헌신","51282",NA,NA
"1101","로맨틱 홀리데이","64126",NA,NA
"1102","화이트 칙스","38898",NA,NA
"1103","국가대표2","141824","49%","51%"
"1104","래더 49","39473",NA,NA
"1105","세븐","17062","50%","50%"
"1106","김광석","151674","42%","58%"
"1107","조커","167613","71%","29%"
"1108","퓨리","107928","68%","32%"
"1109","소녀X소녀","65677",NA,NA
"1110","쿵푸 허슬","39576",NA,NA
"1111","말리와 나","48310",NA,NA
"1112","코알라 키드 : 영웅의 탄생","90388",NA,NA
"1113","워크래프트: 전쟁의 서막","75006","76%","24%"
"1114","더 플랜","162471","40%","60%"
"1115","행복한 사전","102216","34%","66%"
"1116","유주얼 서스펙트","17150",NA,NA
"1117","피아노","13314","40%","60%"
"1118","극장판 도라에몽: 진구의 마계 대모험 7인의 마법사","65842",NA,NA
"1119","송 포 유","98728",NA,NA
"1120","디 아워스","31867","100%","22%"
"1121","공주와 개구리","66437",NA,NA
"1122","베스트 오퍼","101248","33%","67%"
"1123","잠수종과 나비","66795","50%","50%"
"1124","투모로우","37758",NA,NA
"1125","펭귄 - 위대한 모험","41590",NA,NA
"1126","줄리 & 줄리아","52425",NA,NA
"1127","미래를 걷는 소녀","47638",NA,NA
"1128","늑대소년","88253",NA,NA
"1129","스텝 업 2 - 더 스트리트","45253",NA,NA
"1130","언싱커블","72362",NA,NA
"1131","어린왕자","114265","28%","72%"
"1132","해가 서쪽에서 뜬다면","19479",NA,NA
"1133","동사서독","11722",NA,NA
"1134","매트릭스 3 - 레볼루션","12954",NA,NA
"1135","브로크백 마운틴","43516","30%","70%"
"1136","런던시계탑 밑에서 사랑을 찾을 확률","123268","31%","69%"
"1137","프로포즈","54565",NA,NA
"1138","지금, 이대로가 좋아요","69270",NA,NA
"1139","판타스틱 Mr. 폭스","70393",NA,NA
"1140","항거:유관순 이야기","182360","34%","66%"
"1141","괴물","39841",NA,NA
"1142","포 미니츠","61865",NA,NA
"1143","리틀 러너","41595",NA,NA
"1144","파닥파닥","92116",NA,NA
"1145","로드 오브 워","43502",NA,NA
"1146","플로리다 프로젝트","164719","32%","68%"
"1147","범죄와의 전쟁 : 나쁜놈들 전성시대","82540",NA,NA
"1148","해피 피트","62699",NA,NA
"1149","캐쉬백","63879",NA,NA
"1150","엑소시스트","10065",NA,NA
"1151","아포칼립토","51579",NA,NA
"1152","69세","189373","24%","76%"
"1153","안나","171465","60%","40%"
"1154","페인티드 베일","59344",NA,NA
"1155","페이스 오브 러브","100924","46%","54%"
"1156","와니와 준하","31323",NA,NA
"1157","어바웃 슈미트","35175",NA,NA
"1158","영원한 여름","63379",NA,NA
"1159","서극의 칼","18046",NA,NA
"1160","트로이","37742","45%","55%"
"1161","그랑블루","11290","27%","73%"
"1162","잉글리쉬 페이션트","18003","39%","61%"
"1163","업사이드","167053","12%","88%"
"1164","주먹왕 랄프 2: 인터넷 속으로","152632","29%","71%"
"1165","우리들과 경찰아저씨의 700일 전쟁","50218",NA,NA
"1166","걸어도 걸어도","50749","42%","58%"
"1167","극장판 짱구는 못말려 : 습격!! 외계인 덩덩이","156477","22%","78%"
"1168","쿵푸팬더3","97692","35%","65%"
"1169","안경","69024","50%","50%"
"1170","퐁네프의 연인들","11151","49%","51%"
"1171","앤트맨과 와스프","144330","58%","42%"
"1172","사랑은 너무 복잡해","51158",NA,NA
"1173","작전","50176",NA,NA
"1174","나니아 연대기 - 캐스피언 왕자","66143",NA,NA
"1175","카메라를 멈추면 안 돼!","174301","49%","51%"
"1176","리플리","28792",NA,NA
"1177","레터스 투 줄리엣","61273","33%","67%"
"1178","친구","30889",NA,NA
"1179","날아라 허동구","61701",NA,NA
"1180","서유기 : 모험의 시작","103545","29%","71%"
"1181","수상한 고객들","79439",NA,NA
"1182","카트","118922","38%","62%"
"1183","꽃피는 봄이 오면","38378",NA,NA
"1184","고양이의 보은","37073",NA,NA
"1185","오두막","125447","24%","76%"
"1186","천국의 우편배달부","71901",NA,NA
"1187","패션 오브 크라이스트","38197",NA,NA
"1188","완벽한 타인","167638","42%","58%"
"1189","플라이","11093",NA,NA
"1190","명탐정 코난: 11번째 스트라이커","92412",NA,NA
"1191","라라랜드","134963","42%","58%"
"1192","지구","44997",NA,NA
"1193","범죄의 여왕","139701","48%","52%"
"1194","뽀로로 극장판 슈퍼썰매 대모험","101242","100%","19%"
"1195","태풍이 지나가고","146548","33%","67%"
"1196","서바이벌 패밀리","159645","67%","33%"
"1197","앤트맨","92064","60%","40%"
"1198","다우트","51689",NA,NA
"1199","드림 쏭","133447","26%","74%"
"1200","도쿄 타워","65290",NA,NA
"1201","도화선","66598",NA,NA
"1202","킹덤 오브 헤븐: 디렉터스 컷","38908","59%","41%"
"1203","새미의 어드벤쳐 2","94506",NA,NA
"1204","폭풍 속으로","11088",NA,NA
"1205","배드 지니어스","163386","33%","67%"
"1206","모터싸이클 다이어리","38551",NA,NA
"1207","국화꽃 향기","35900",NA,NA
"1208","진주만","31267",NA,NA
"1209","죽어야 사는 여자","11810",NA,NA
"1210","런치박스","111527","23%","77%"
"1211","노스 컨츄리","39377",NA,NA
"1212","러닝 스케어드","58434",NA,NA
"1213","안녕,헤이즐","118370","39%","61%"
"1214","웨이 백","52429",NA,NA
"1215","약장수","128265","41%","59%"
"1216","내가 고백을 하면","99355",NA,NA
"1217","풀 메탈 자켓","11671",NA,NA
"1218","키스 오브 드래곤","31708",NA,NA
"1219","스내치","31066",NA,NA
"1220","포카혼타스","17230",NA,NA
"1221","겟 썸","47359",NA,NA
"1222","몬스터 호텔 3","169643","19%","81%"
"1223","자전거 탄 소년","85606","47%","53%"
"1224","내니 맥피 - 우리 유모는 마법사","54435",NA,NA
"1225","아이스 에이지","34449",NA,NA
"1226","철도원","27255","58%","42%"
"1227","침묵의 목격자","109957","100%","27%"
"1228","논스톱","98484","58%","42%"
"1229","인정사정 볼 것 없다","25578",NA,NA
"1230","몬스터 콜","125401","37%","63%"
"1231","비커밍 제인","64242","100%","15%"
"1232","몬스터 호텔 2","122596","22%","78%"
"1233","캐롤","101962","25%","75%"
"1234","가족의 탄생","56447",NA,NA
"1235","라스트베가스","94766","49%","51%"
"1236","아이 필 프리티","168017","22%","78%"
"1237","4등","132946","35%","65%"
"1238","패딩턴","114248","24%","76%"
"1239","우리 생애 최고의 순간","65991",NA,NA
"1240","프레스티지","56058",NA,NA
"1241","실버라이닝 플레이북","82283","100%","18%"
"1242","드림걸즈","61450",NA,NA
"1243","소중한 날의 꿈","41635","40%","60%"
"1244","빠삐용","154288","55%","45%"
"1245","타락천사","17058",NA,NA
"1246","반창꼬","91045",NA,NA
"1247","천년여우 여우비","44044",NA,NA
"1248","올드 미스 다이어리 - 극장판","57794",NA,NA
